"term","estimate","std_error","ci_low","ci_up","z_value","p_value","p_value_adj","pct_change","pct_low","pct_up"
"(Intercept)",0.215346517202693,0.0536224362832347,0.110248473324259,0.320444561081127,4.01597786540747,5.91998121757313e-05,NA,24.0291604888618,11.6555470243632,37.7740117847904
"PartSop_AbsoluteIntervallicTrimRatio",0.0456518465365523,0.012771511688819,0.00503300198879134,0.0862706910843132,3.57450610772403,0.000350889622255905,0.0119302471567008,4.67099318252926,0.504568881865097,9.01013690924828
"PartSop_Ambitus",0.0325962337521248,0.0127007217262167,-0.00779746857625426,0.0729899360805039,2.56648672845417,0.0102734556579375,0.349297492369876,3.31333106551652,-0.776714717938509,7.57197109036567
"PartSop_AscendingIntervallicMean",0.0420277582909799,0.0102887198877582,0.00930524870096953,0.0747502678809902,4.08483842008232,4.41074987400413e-05,0.0014996549571614,4.29234281209563,0.934867712724596,7.76150022005184
"PartSop_AverageDuration",0.000622302874189015,0.0139145937010159,-0.0436320291311309,0.044876634879509,0.0447230359405736,0.964328072041108,1,0.0622496544794515,-4.2693846552799,4.58988245151395
"PartSop_DescendingIntervallicStd",0.0534177086235496,0.0109640169279599,0.0185474669429421,0.088287950304157,4.87209286291109,1.10422241957005e-06,3.75435622653817e-05,5.48701814765609,1.87205395716741,9.23026056157208
"PartSop_DottedRhythm",-0.0186531053003319,0.0148896155565884,-0.0660084219147675,0.0287022113141037,-1.25275936302319,0.210293294729635,1,-1.84802127946144,-6.38770196895323,2.91180891170917
"PartSop_HighestNoteIndex",-0.0809756148429184,0.0145371662679439,-0.127209992666768,-0.0347412370190689,-5.57024755378074,2.54377643511568e-08,8.6488398793933e-07,-7.77838204431794,-11.9451255598002,-3.41446884760919
"PartSop_IntervallicKurtosis",0.0314119449644218,0.0117458152943822,-0.00594474836632226,0.0687686382951659,2.67430946061663,0.00748833156971432,0.254603273370287,3.19105066785927,-0.592711331237705,7.11883485142117
"PartSop_IntervallicMean",-0.0289571121716821,0.0154855073387512,-0.0782076183499459,0.0202933940065816,-1.86994920723193,0.0614908716140938,1,-2.85418726974341,-7.52275931103668,2.05007048992085
"PartSop_IntervallicTrimDiff",-0.00163384531292239,0.0112783892883355,-0.0375039249412484,0.0342362343154036,-0.144865128446325,0.884817359416491,1,-0.163251131428377,-3.68093627532594,3.48290399850402
"PartSop_IntervallicTrimRatio",-0.00224804070066934,0.0156650626664848,-0.0520696092654883,0.0475735278641496,-0.143506652257382,0.885890057887057,1,-0.224551574959209,-5.07372129423288,4.87233086714443
"PartSop_IntervalsAugmentedAsc_Per",0.0271289264758388,0.0153645325260374,-0.0217368282938569,0.0759946812455344,1.76568512122741,0.0774486903428238,1,2.75002662125292,-2.15022859180019,7.89568354355359
"PartSop_IntervalsAugmentedDesc_Per",0.0176196826887341,0.0155371346891142,-0.0317950204436492,0.0670343858211173,1.13403681188907,0.256779106940746,1,1.77758250090352,-3.12948735232089,6.93322474098008
"PartSop_IntervalsBeyondOctaveAsc_Per",0.0419181598183651,0.0125709170481474,0.00193729162963522,0.081899028007095,3.33453475651904,0.000854422218405916,0.0290503554258011,4.28091315696584,0.193916939145922,8.53462147263313
"PartSop_IntervalsBeyondOctaveDesc_Per",0.0258641588035696,0.0135898156899841,-0.0173572408548157,0.0690855584619549,1.90320158812985,0.0570142460206301,1,2.62015385600751,-1.72074717279618,7.15278835041862
"PartSop_IntervalsDiminishedAsc_Per",0.00563982352903424,0.0154326851033924,-0.0434426854521097,0.0547223325101782,0.365446679644522,0.714778001816939,1,0.565575727417378,-4.25125695224673,5.62472884205896
"PartSop_IntervalsDiminishedDesc_Per",-0.0152836972771261,0.0151572166336058,-0.0634900992456704,0.0329227046914183,-1.00834458242418,0.313289067276728,1,-1.51674943326696,-6.1516589051639,3.34706537208678
"PartSop_IntervalsMajorAll_Per",0.0119925978445453,0.0100074117322008,-0.019835232045911,0.0438204277350017,1.19837158352911,0.230772390024052,1,1.20647973773909,-1.9639808057061,4.47947218874389
"PartSop_IntervalsMajorAsc_Per",0.00463431407460572,0.0105877830505639,-0.0290393436970721,0.0383079718462836,0.437703913319124,0.66160093234149,1,0.464506911573803,-2.86217538966732,3.90511821192301
"PartSop_IntervalsMinorAll_Per",-0.0379747023642929,0.0139072390209472,-0.0822056433557933,0.00625623862720758,-2.73057091397473,0.00632247293111653,0.214964079657962,-3.72627044394748,-7.89174752822488,0.627584976407425
"PartSop_IntervalsPerfectAll_Per",0.0123978444543372,0.00996644966434327,-0.0192997086210325,0.0440953975297068,1.24395796616448,0.213515033532763,1,1.24750163197216,-1.9114661607895,4.50820483788681
"PartSop_IntervalsPerfectAsc_Per",0.0203239231516024,0.0129166293683077,-0.020756457399719,0.0614043037029239,1.57346956176271,0.115610130944214,1,2.0531860388795,-2.05425248551008,6.33287350372607
"PartSop_IntervalsPerfectDesc_Per",0.0323270801355454,0.0132455175097226,-0.00979930472718656,0.0744534649982774,2.44060529245583,0.0146626708753504,0.498530809761912,3.28552765068206,-0.975144798910788,7.72952104213194
"PartSop_IntervalsWithinOctaveDesc_Per",0.00801724714033583,0.0107305588479455,-0.0261104984527626,0.0421449927334343,0.747141621787095,0.454978078368636,1,0.804947132504252,-2.57725669630728,4.30457018347801
"PartSop_LargestSemitonesAsc",0.0564046385791652,0.012087572974434,0.0179610103250339,0.0948482668332965,4.66633282781124,3.06622890647553e-06,0.000104251782820168,5.8025715153859,1.81232793201747,9.94920130637784
"PartSop_LargestSemitonesDesc",-0.0463348684243952,0.0125906382784153,-0.0863784585215462,-0.00629127832724421,-3.68010480483973,0.000233138114502219,0.00792669589307543,-4.52777976646679,-8.27529744303631,-0.627152967221412
"PartSop_LeapsAsc_Per",0.0241954565377025,0.0114103234584623,-0.0120942299216307,0.0604851429970358,2.12048822505188,0.0339648934978757,1,2.44905416966472,-1.2021388671594,6.23518140890267
"PartSop_LeapsDesc_Per",0.00887727112859314,0.0119394461664377,-0.0290952508122093,0.0468497930693955,0.743524532448375,0.457164174488544,1,0.891679095611742,-2.86760593340756,4.79645857131092
"PartSop_RhythmInt",0.00679711565058836,0.0136493010858889,-0.0366134728922449,0.0502077041934216,0.497982688477393,0.618496243982498,1,0.682026846890671,-3.59513057041098,5.14894724691943
"PartSop_StepwiseMotionAll_Per",-0.0108909626531557,0.00933468708178211,-0.0405792417477006,0.0187973164413891,-1.1667196294572,0.24332361298167,1,-1.08318708362114,-3.97669290501825,1.89750981868906
"PartSop_SyllabicRatio",-0.0104381796284865,0.0133460105371728,-0.0528841751026786,0.0320078158457057,-0.782119840188412,0.434144147846491,1,-1.03838908875775,-5.15101351384369,3.25255753341653
"PartSop_VoicePresence",0.0172106794115816,0.0155007485740912,-0.0320883003839072,0.0665096592070705,1.11031279098021,0.266864263144599,1,1.73596364782385,-3.15789336482253,6.87712875084923
"PartSop_LargestIntervalAll_M9",0.00637066629521589,0.0154456422112846,-0.0427530518054187,0.0554943843958504,0.412457197186756,0.680004347284101,1,0.639100215111976,-4.1852026233867,5.70630810079316
"PartSop_LargestIntervalAll_P8",-0.0202332415289734,0.0143879605719947,-0.0659930817164749,0.0255265986585281,-1.40626195267426,0.159646353636822,1,-2.00299230703839,-6.38626592672425,2.5855192279516
