"PartSop_AbsoluteIntervallicTrimRatio","PartSop_Ambitus","PartSop_AscendingIntervallicMean","PartSop_AverageDuration","PartSop_DescendingIntervallicStd","PartSop_DottedRhythm","PartSop_HighestNoteIndex","PartSop_IntervallicKurtosis","PartSop_IntervallicMean","PartSop_IntervallicSkewness","PartSop_IntervallicTrimRatio","PartSop_IntervalsAugmentedAsc_Per","PartSop_IntervalsAugmentedDesc_Per","PartSop_IntervalsBeyondOctaveAsc_Per","PartSop_IntervalsBeyondOctaveDesc_Per","PartSop_IntervalsDiminishedAsc_Per","PartSop_IntervalsDiminishedDesc_Per","PartSop_IntervalsMajorAll_Per","PartSop_IntervalsMajorAsc_Per","PartSop_IntervalsMinorAll_Per","PartSop_IntervalsPerfectAll_Per","PartSop_IntervalsPerfectAsc_Per","PartSop_IntervalsPerfectDesc_Per","PartSop_IntervalsWithinOctaveDesc_Per","PartSop_LargestSemitonesAsc","PartSop_LargestSemitonesDesc","PartSop_LeapsAsc_Per","PartSop_LeapsDesc_Per","PartSop_RhythmInt","PartSop_StepwiseMotionAll_Per","PartSop_SyllabicRatio","PartSop_TrimmedAbsoluteIntervallicStd","PartSop_VoicePresence","y","PartSop_LargestIntervalAll_M9","PartSop_LargestIntervalAll_P8"
-0.120571481157745,-0.0222437625044037,-0.382986019195109,-1.07589515338652,0.688507363547493,-0.674900510795505,0.0519257301379719,-0.777706192957598,-0.851484591566278,-0.694334500128832,-0.100082402241867,-0.766541941486642,-0.485281197029374,-0.696019841208689,-0.327695780864305,-0.114776652954175,-0.67051635910956,1.42247860903015,1.80844887958132,-0.589844957697998,-0.883989996439626,0.353502648144812,1.11966464817714,0.300620767399232,-0.596396257762758,-0.0504429825283554,-0.348400663696626,0.322552990446126,-0.0628794146333485,0.947841651731035,0.35007013257225,0.201309239387981,-0.225225790153361,"Feminine",-0.404708713784664,1.23709114477995
-0.780766764513506,-1.74216325614849,-1.23913356750506,-0.809004727658382,-0.920688765652313,0.144272529215169,-0.346018361007918,0.0783240538723441,0.264008546801011,0.433113877253469,0.0814360658104744,-0.766541941486642,-0.485281197029374,-0.696019841208689,-0.327695780864305,-0.733808618572149,0.714401236273088,0.67562510031454,0.887279737049624,0.175219184889993,-0.734084053376463,-0.326557458569194,0.139465586060975,0.0704786488350987,-0.596396257762758,-0.0504429825283554,-1.2621945641783,-0.635004022556999,-0.0899848170165666,1.31928512546618,0.111728706422548,-1.04727463920689,-2.68615326044779,"Feminine",-0.404708713784664,1.23709114477995
1.12830924166212,-1.05419545869085,-1.29200825847417,-0.628217010313825,0.62633307662532,0.326465514344877,0.0519257301379719,-0.211000222215225,-0.574708098587928,-1.20307240234055,-0.104867829532521,-0.412695666935084,-0.485281197029374,-0.696019841208689,-0.327695780864305,-0.733808618572149,1.20380820606996,-0.206909578242931,0.700898044360289,2.28173413989543,-1.32633036294929,-1.50260125213477,-1.22396919958933,-0.68608712940205,-1.3284716074758,-0.0504429825283554,-1.10691830740472,-0.115907326034251,-0.228454483722254,0.82836749857377,-0.148999956126715,-0.796370581218607,-2.0301228332794,"Feminine",-0.404708713784664,-0.807414449455619
-0.540286068136434,-0.710211559962037,-0.201864881773868,1.6710925830451,-0.36404685796839,-0.313296112828145,-0.743962452153807,-0.188377469995005,-0.916407472635272,0.553293163101664,-0.20315108703677,-0.268536073599263,-0.485281197029374,-0.696019841208689,-0.327695780864305,-0.0787483374949262,-0.230859979623004,0.729559180380516,0.403448254125426,-1.39295990949407,0.265288900377915,1.19103699058718,1.74349504145138,0.685408648173129,-0.596396257762758,1.09912604035469,-0.325193199557403,-0.709480679123907,0.982668657701159,0.975866453088914,-0.901729184523705,-0.197874505811258,0.731322388803364,"Feminine",-0.404708713784664,1.23709114477995
-0.310820206309061,-1.05419545869085,-1.07763083677938,-0.586087555240413,-0.77522418183417,0.331101468164971,0.449869821283861,-0.975621738023972,0.264008546801011,0.0631719344953177,0.0814360658104744,1.35454220568439,-0.485281197029374,-0.696019841208689,-0.327695780864305,-0.733808618572149,2.13833059490595,-1.48646889807993,-0.399208264666214,2.41006852535126,-0.361718458571697,-1.50412632603587,-0.225397243901786,-0.464358668954787,-2.06054695718883,1.09912604035469,-1.02795443757595,0.140482290790593,-0.411907835877363,0.0171607109547157,-0.7809657443408,-0.235824319061467,0.578372632824895,"Feminine",-0.404708713784664,-0.807414449455619
-1.04933444148779,-1.39817935741967,-0.877138979857202,-0.877103598368807,0.285570240736965,-0.674900510795505,-0.743962452153807,-0.96272523273099,-0.968580556367262,-1.28532227485175,0.0197239136556577,-0.766541941486642,-0.485281197029374,-0.696019841208689,-0.327695780864305,-0.733808618572149,-0.67051635910956,1.27170274763198,1.80707647537119,-1.44198269883467,-0.121208927040906,0.188405183173945,1.13359012814407,-0.53631103761853,-1.3284716074758,-0.0504429825283554,-0.291856510738631,0.0828992186834685,-0.24640852079431,0.46923205846592,0.218779438633483,-0.245759662737936,-2.08398704728988,"Feminine",-0.404708713784664,-0.807414449455619
-0.734087490617861,-0.366227661233221,-1.45886150832419,1.85594552105425,-0.783640132828844,-0.674900510795505,-0.346018361007918,-0.915222338191034,-0.752617690034068,-0.502318859842722,-0.130828671581946,-0.166075536187029,-0.485281197029374,-0.696019841208689,-0.327695780864305,0.0560248303822036,-0.140404360876967,1.23627227710157,1.18763406474463,1.31952086418668,-2.08643257844383,-0.21745690668994,0.540344446051523,1.06294869229748,-0.596396257762758,1.09912604035469,-0.397369523435347,-1.07804595153978,-0.521346981973367,2.26664716979972,-0.171182220203527,-1.28416264527036,-0.947078637119126,"Feminine",-0.404708713784664,1.23709114477995
0.0541305366287103,-0.0222437625044037,-0.0159644185443814,-0.553676226657118,-0.881231697446266,-0.332836083474824,0.0519257301379719,0.403894705354183,0.264008546801011,0.601377140105859,0.0814360658104744,0.269675772612966,1.4934281677161,-0.696019841208689,-0.327695780864305,-0.733808618572149,-0.67051635910956,0.0284014422532749,-1.12911308241856,0.241197193516838,-0.166466887816221,-0.0439636743437307,-1.34432198503231,0.705070321328456,-0.596396257762758,0.715936366060339,0.577130039176558,-1.65669100065116,0.1101989318466,0.465359017314188,-0.864495737008896,-0.804670267646324,-0.517424906649681,"Feminine",-0.404708713784664,1.23709114477995
-0.635463558030654,0.321740136224413,0.05174523067882,1.00139819404239,-0.664862854058697,-0.0223586866049254,0.449869821283861,-0.289830479334249,-0.343062548909078,0.844368213817043,-0.652318619204032,-0.766541941486642,-0.485281197029374,0.580107651513134,-0.327695780864305,-0.733808618572149,0.233919621548497,0.232785871484269,0.106789028117118,0.259532376113965,-0.294656613599503,-0.318393471693875,0.172805690214587,0.379248309040191,0.13567909195028,1.48231571464903,0.556690437732846,0.414400295775002,-1.03755589286942,-0.231759647578432,-0.485467168127833,-0.0745194961508142,-0.147069632927844,"Feminine",2.4680596971786,-0.807414449455619
0.576851071986674,-0.0222437625044037,-0.961281128080145,-0.636673210772875,-0.494863669402068,-0.382048182688413,0.847813912429751,0.737914583160423,0.264008546801011,0.544227372203759,0.0814360658104744,-0.766541941486642,-0.485281197029374,0.474958569715831,-0.327695780864305,-0.115549476881289,-0.67051635910956,1.2311599250146,0.871579972595419,0.654124504607362,-1.52112853483165,-0.429937382260018,-0.98198563267903,0.7985118037602,0.13567909195028,-0.0504429825283554,-1.52207252988334,-1.31677027039181,0.656268698414942,2.06609265437531,0.220818098761439,-1.33454477046436,-0.713350259616823,"Feminine",2.4680596971786,-0.807414449455619
