"PartSop_AbsoluteIntervallicTrimRatio","PartSop_Ambitus","PartSop_AscendingIntervallicMean","PartSop_AscendingIntervals_Per","PartSop_AverageDuration","PartSop_DottedRhythm","PartSop_HighestNoteIndex","PartSop_IntervallicKurtosis","PartSop_IntervallicMean","PartSop_IntervallicTrimDiff","PartSop_IntervallicTrimRatio","PartSop_IntervalsAugmentedAsc_Per","PartSop_IntervalsAugmentedDesc_Per","PartSop_IntervalsBeyondOctaveAsc_Per","PartSop_IntervalsBeyondOctaveDesc_Per","PartSop_IntervalsDiminishedAsc_Per","PartSop_IntervalsDiminishedDesc_Per","PartSop_IntervalsMajorAll_Per","PartSop_IntervalsMajorAsc_Per","PartSop_IntervalsMinorAll_Per","PartSop_IntervalsPerfectAll_Per","PartSop_IntervalsPerfectAsc_Per","PartSop_IntervalsPerfectDesc_Per","PartSop_IntervalsWithinOctaveDesc_Per","PartSop_LargestSemitonesAsc","PartSop_LargestSemitonesDesc","PartSop_LeapsAsc_Per","PartSop_LeapsDesc_Per","PartSop_RhythmInt","PartSop_StepwiseMotionAll_Per","PartSop_SyllabicRatio","PartSop_VoicePresence","y","PartSop_LargestIntervalAll_M9","PartSop_LargestIntervalAll_P8"
1.11074614520169,-1.02622770000143,-1.28198046888356,1.36372730117943,-0.62692430925783,0.255460696195043,0.0170746986557003,-0.204030676913821,-0.596069441556539,-0.939536539801711,-0.0722126276941265,-0.375167111358074,-0.48744394845628,-0.696536272585953,-0.343032310267798,-0.719834078126746,1.18445618019058,-0.221310328871053,0.684844031741091,2.18573899407604,-1.31043569455437,-1.51419554930697,-1.16192581322808,-0.6994761808405,-1.33627195010655,-0.0863537532420052,-1.08247533052771,-0.10331095122187,-0.228480450590914,0.804029911605392,-0.111098650953018,-1.94955845476157,"Feminine",-0.427718243085383,-0.801193979414496
-0.5260800501349,-0.682788947809716,-0.19509093948539,0.138666225908352,1.71497277112575,-0.330958443265669,-0.802510836817823,-0.181939772436363,-0.955088430716598,-0.152538240795282,-0.167858835718643,-0.224891434309529,-0.48744394845628,-0.696536272585953,-0.343032310267798,-0.0701208142886785,-0.218582730943356,0.724537011405774,0.385140623252053,-1.33229314729193,0.268843831928954,1.2459509306565,1.58235465241169,0.710563982038642,-0.595717843921203,1.0546801098209,-0.319556363773418,-0.685149596280556,0.986182598704104,0.949507903135464,-0.892634553064829,0.802908838362067,"Feminine",-0.427718243085383,1.24707584621909
-1.02543642930126,-1.36966645219314,-0.868349487275793,1.28179174127916,-0.880420739488923,-0.662412739482594,-0.802510836817823,-0.93808306978655,-1.00990599611321,-1.29078033844925,0.0490361799840139,-0.744025591386318,-0.48744394845628,-0.696536272585953,-0.343032310267798,-0.719834078126746,-0.648546268226338,1.27211005792871,1.79940338614257,-1.37922596570939,-0.114657499034357,0.21856328444661,1.01832084996897,-0.545490796191906,-1.33627195010655,-0.0863537532420052,-0.287021663361065,0.0915652675390573,-0.246486964273303,0.449815180484739,0.270755527440138,-2.00324754703399,"Feminine",-0.427718243085383,-0.801193979414496
-0.134939142318721,-0.682788947809716,-0.162620641112084,-0.844919785726994,-0.468609491749634,-0.368313757508364,-0.392718069081061,0.126503048769679,-0.0480418122416589,0.419655647236589,-1.32266036066175,0.557683936806224,1.89382242479211,-0.696536272585953,-0.343032310267798,-0.719834078126746,-0.648546268226338,0.0863345219297804,-0.881811064352244,-0.0930959647185844,-0.0406184748747383,0.0844834181441874,-0.812667454400604,0.576030927022688,-0.595717843921203,0.674335488799928,0.535702841727466,-1.57552165971308,0.453119095245469,0.478795654543897,-0.992785659224501,-0.901848786051913,"Feminine",-0.427718243085383,1.24707584621909
-0.716191602737424,-0.339350195618002,-1.44833569708938,1.79040875194364,1.90324952910316,-0.662412739482594,-0.392718069081061,-0.891696940660007,-0.78299668384649,-0.678754170702573,-0.0974769113799166,-0.118083928308087,-0.48744394845628,-0.696536272585953,-0.343032310267798,0.0635522495631704,-0.130121333320543,1.2363247570232,1.17526779108681,1.26454741042387,-2.06464487926588,-0.19731988832733,0.469693333527279,1.09871437521863,-0.595717843921203,1.0546801098209,-0.389996325192489,-1.0464284805194,-0.522229024021034,2.22260293482639,-0.134129822205758,-0.870035419830551,"Feminine",-0.427718243085383,1.24707584621909
0.0570191974232688,0.00408855657371117,-0.00974534980159691,-1.08944667345427,-0.551002891750876,-0.34886919671668,0.0170746986557003,0.396408428654773,0.285158986381788,0.74901416638928,0.109092526227779,0.336154471228502,1.48857021173011,-0.696536272585953,-0.343032310267798,-0.719834078126746,-0.648546268226338,0.0163572930593616,-1.15903211231477,0.232195524463552,-0.159564577322306,-0.0195429593533868,-1.2732268336443,0.730778224963566,-0.595717843921203,0.674335488799928,0.561059476837083,-1.61363394820491,0.1111627915699,0.445995205965467,-0.853976195059801,-0.441778566850593,"Feminine",-0.427718243085383,1.24707584621909
-0.619445414253088,0.347527308765425,0.0577622004462203,-0.0891536962579111,1.03287439738584,-0.0642789991160855,0.426867466392462,-0.281007680551481,-0.352682542411668,0.327128811840486,-0.604974701741621,-0.744025591386318,-0.48744394845628,0.59372638198882,-0.343032310267798,-0.719834078126746,0.235950151327224,0.22278859896464,0.0862337686726379,0.249749029824158,-0.286760455193148,-0.30074866364561,0.12979726534244,0.395799342207676,0.14483626226414,1.43502473084186,0.541111595596261,0.416512700786282,-1.03994672615769,-0.241571858900013,-0.460442340744819,-0.0726273812310751,"Feminine",2.33599963531248,-0.801193979414496
0.569787428335758,0.00408855657371117,-0.952240488990999,0.61034230402195,-0.635537134265557,-0.393978055463663,0.836660234129224,0.72257569346681,0.285158986381788,0.650647172631474,0.109092526227779,-0.744025591386318,-0.48744394845628,0.487412605207378,-0.343032310267798,-0.106621559448122,-0.648546268226338,1.23116120556514,0.85681912582053,0.627518654209947,-1.50372360689534,-0.415046688980811,-0.938141894792423,0.826845777822293,0.14483626226414,-0.0863537532420052,-1.4876420921906,-1.28043331496896,0.658828627603853,2.02479632533457,0.272872206349492,-0.637066933110135,"Feminine",2.33599963531248,-0.801193979414496
-0.277030525648197,1.72128231753228,-1.32643725544852,0.916847911917513,-0.227895692771203,-0.0167412068736774,0.0170746986557003,0.84236943147634,0.443301514181819,-0.526151709555285,1.72960442934926,-0.744025591386318,-0.48744394845628,1.54276254940332,-0.343032310267798,-0.719834078126746,0.118991947088736,0.769111286070832,1.33183013286523,0.983456539839071,-1.32656851133965,-1.78470269668809,-0.620377390196829,-0.150249909009232,-0.225440790828531,-0.0863537532420052,-1.32098602506699,-0.536900049106706,1.11918787841041,1.1816892796731,-0.236021607482906,0.83270516502652,"Feminine",-0.427718243085383,-0.801193979414496
-1.42691538991702,-0.682788947809716,-0.841858281890418,0.383290097947208,-1.3662803312718,0.798891577201856,0.0170746986557003,-0.94661761382516,0.285158986381788,-0.0493378123172218,0.109092526227779,-0.23166864262646,-0.48744394845628,-0.696536272585953,-0.343032310267798,-0.719834078126746,0.200154604321793,0.586756648214997,0.531052453312476,-0.557297440723239,-0.128935904697021,0.160733343998584,0.320427980114222,0.0176036130777675,-1.33627195010655,-0.0863537532420052,-0.450247320912841,-0.241841232101154,1.40371181482309,0.5269037714245,-0.737400735117197,1.02170067885908,"Feminine",-0.427718243085383,-0.801193979414496
