"PartSop_AbsoluteIntervallicTrimRatio","PartSop_Ambitus","PartSop_AscendingIntervallicMean","PartSop_AverageDuration","PartSop_DescendingIntervallicStd","PartSop_DottedRhythm","PartSop_HighestNoteIndex","PartSop_IntervallicKurtosis","PartSop_IntervallicMean","PartSop_IntervallicTrimDiff","PartSop_IntervallicTrimRatio","PartSop_IntervalsAugmentedAsc_Per","PartSop_IntervalsAugmentedDesc_Per","PartSop_IntervalsBeyondOctaveAsc_Per","PartSop_IntervalsBeyondOctaveDesc_Per","PartSop_IntervalsDiminishedAsc_Per","PartSop_IntervalsDiminishedDesc_Per","PartSop_IntervalsMajorAll_Per","PartSop_IntervalsMajorAsc_Per","PartSop_IntervalsMinorAll_Per","PartSop_IntervalsPerfectAll_Per","PartSop_IntervalsPerfectAsc_Per","PartSop_IntervalsPerfectDesc_Per","PartSop_IntervalsWithinOctaveDesc_Per","PartSop_LargestSemitonesAsc","PartSop_LargestSemitonesDesc","PartSop_LeapsAsc_Per","PartSop_LeapsDesc_Per","PartSop_RhythmInt","PartSop_StepwiseMotionAll_Per","PartSop_SyllabicRatio","PartSop_VoicePresence","y","PartSop_LargestIntervalAll_M9","PartSop_LargestIntervalAll_P8"
0.546503639826519,-0.661429762281418,-1.96548515647213,0.152750730319424,0.816873896188438,0.232213858579785,0.0482664118979326,0.280438799918284,-0.610920717066321,-2.52226838109981,0.33005294505076,-0.76565409294995,-0.489805621715803,-0.693039777489006,-0.347091053485638,-0.716948173600464,-0.685827200195779,0.646101355550649,2.61949436791675,-0.573112407767956,-0.0490799766214,-1.49463277935416,-0.090147257245262,-2.39383068289405,-1.30862686602745,-0.0754103397263379,-2.22146353231549,-0.429696712117097,-0.484011864301588,0.788538781447431,0.571492997838304,-1.62729640343394,"Female",-0.412571849784155,-0.81810820188584
-0.578868733990808,0.0209072626008497,-1.09816911138117,-1.19108351385078,0.273321320325886,-0.693977872544596,0.849544648723746,-0.792925973651194,1.0033755770735,-0.675044795591969,0.381531665645158,-0.28851149634789,-0.489805621715803,-0.693039777489006,-0.347091053485638,-0.716948173600464,0.136562791706453,1.46551982448691,3.01449359006822,-0.470050793702705,-1.05355897252719,0.226040944866413,1.66714184253404,-0.624528674849866,-0.571545799302438,-0.0754103397263379,-1.26852707415331,1.52705804541142,0.331856697921254,0.921689831093096,-0.357049974705708,-2.34854544037455,"Female",-0.412571849784155,1.22148099587122
-0.121289214722106,0.0209072626008497,-0.35945331442213,-1.07786354231706,0.679246194158332,-0.693977872544596,0.0482664118979326,-0.762292551151275,-0.773669370751677,-0.718978037148319,-0.081350507701644,-0.76565409294995,-0.489805621715803,-0.693039777489006,-0.347091053485638,-0.0926755552456778,-0.685827200195779,1.43905407774919,1.75739275320043,-0.578127191089445,-0.875605688003303,0.368426390245146,1.02654285069734,0.312988625248024,-0.571545799302438,-0.0754103397263379,-0.32847586577558,0.343072066361188,-0.074594771653565,0.914835099121068,0.405989011763431,-0.163718957569718,"Female",-0.412571849784155,1.22148099587122
-0.772425268257075,-1.68493529960482,-1.21201358203638,-0.805585321288878,-0.917626855352438,0.103415320970301,-0.352372706514974,0.069189291311401,0.280852727784958,-0.0906691116770457,0.101413628087339,-0.76565409294995,-0.489805621715803,-0.693039777489006,-0.347091053485638,-0.716948173600464,0.743075410734351,0.677225707569312,0.850276884506346,0.163120468618975,-0.72536241244448,-0.314041778983958,0.103587047552568,0.07633928254777,-0.571545799302438,-0.0754103397263379,-1.23253802881413,-0.606576237666416,-0.101989681957653,1.28537144405352,0.161140041512226,-2.57169216958673,"Female",-0.412571849784155,1.22148099587122
1.11045430979898,-1.00259827472255,-1.26466672666271,-0.621147989271348,0.617548032351331,0.280764231582272,0.0482664118979326,-0.211838024068336,-0.512021030513263,-0.919027189594995,-0.0861687749145714,-0.391653223056982,-0.489805621715803,-0.693039777489006,-0.347091053485638,-0.716948173600464,1.24802595745402,-0.223004321407726,0.666738614207912,2.20405951362066,-1.31894145053742,-1.49424989118466,-1.18022365606986,-0.701618247548725,-1.30862686602745,-0.0754103397263379,-1.0789154356963,-0.0917668939040819,-0.241938318233492,0.795652722379789,-0.106707414011783,-1.92977821074074,"Female",-0.412571849784155,-0.81810820188584
-0.535244458975334,-0.661429762281418,-0.17909107931993,1.72457844120953,-0.365247661493248,-0.34198766827656,-0.75301182492788,-0.189864025173666,-0.835043672782908,-0.141466719604467,-0.185126499784254,-0.239282498285771,-0.489805621715803,-0.693039777489006,-0.347091053485638,-0.0563422282514828,-0.232207323710023,0.732241198337341,0.373826691300675,-1.35624113651882,0.276259424614297,1.2089264044498,1.61394178210165,0.708656309339458,-0.571545799302438,1.05653301755959,-0.305515556873007,-0.680437772424118,0.982120611326672,0.94279145909742,-0.879988750069686,0.772246209520668,"Female",-0.412571849784155,1.22148099587122
-0.308927338180696,-1.00259827472255,-1.05118755199084,-0.578168054532288,-0.773276226275919,0.285276926508785,0.448905530310839,-0.954532466356614,0.280852727784958,-0.0545594033166276,0.101413628087339,1.47624407925353,-0.489805621715803,-0.693039777489006,-0.347091053485638,-0.716948173600464,2.21222879943716,-1.52821957420381,-0.416584571614151,2.32839884359823,-0.352158885448191,-1.49578036530444,-0.239967929473156,-0.473620457530285,-2.04570793275246,1.05653301755959,-1.00079251659861,0.162505135313677,-0.427351102600974,-0.0135729588421149,-0.755928050885125,0.622587627694756,"Female",-0.412571849784155,-0.81810820188584
-1.0373076473059,-1.34376678716369,-0.851535761210763,-0.875058923874943,0.279394727709986,-0.693977872544596,-0.75301182492788,-0.942005794522238,-0.88436506065331,-1.26605880770959,0.0392779772234223,-0.76565409294995,-0.489805621715803,-0.693039777489006,-0.347091053485638,-0.716948173600464,-0.685827200195779,1.28525506976304,1.75604128626587,-1.40373784411274,-0.111108136679154,0.202744322512245,1.03965508783752,-0.547607265578444,-1.30862686602745,-0.0754103397263379,-0.272533897675944,0.105397656568647,-0.260084119141792,0.437394352741145,0.271113628437151,-1.98248337413511,"Female",-0.412571849784155,-0.81810820188584
0.802695902448039,1.72674982480652,2.00287220808103,-0.287464063440152,1.59933056070649,-0.693977872544596,0.849544648723746,-0.673837935781216,-0.838003610184944,0.14308517444871,-0.240305526754907,-0.237886287159343,-0.489805621715803,-0.0512044308164091,-0.347091053485638,-0.716948173600464,-0.685827200195779,1.01392883339618,-0.13529546351748,-2.22027585259732,0.679613287138561,1.22042012124874,1.48329930348517,1.12846287070968,-0.203005265939932,-0.0754103397263379,0.0130054393084644,-0.856205274613725,-0.625339477961626,0.594628590148133,-0.371048831919284,-0.941017016769249,"Male",-0.412571849784155,-0.81810820188584
0.136516437029092,1.04441279992425,0.676844307545659,-0.574035348069809,0.232779686689285,-0.693977872544596,0.448905530310839,-0.397034676347682,0.804838863703783,0.410129598509486,0.943171625091762,-0.0735898745740914,-0.489805621715803,-0.693039777489006,-0.347091053485638,-0.716948173600464,-0.685827200195779,0.930571687311862,-0.57177236934776,-0.598753212924802,-0.37142963681977,1.818889430218,-0.498340650150548,1.5431079138735,-0.571545799302438,-0.0754103397263379,0.46395427365299,-1.04671758205486,-0.301224480828718,0.961282907463818,-0.330632372003715,0.56613892440479,"Male",-0.412571849784155,1.22148099587122
