"PartSop_AbsoluteIntervallicTrimRatio","PartSop_Ambitus","PartSop_AverageDuration","PartSop_DescendingIntervallicStd","PartSop_DottedRhythm","PartSop_HighestNoteIndex","PartSop_IntervallicKurtosis","PartSop_IntervallicMean","PartSop_IntervallicTrimDiff","PartSop_IntervallicTrimRatio","PartSop_IntervalsAugmentedAsc_Per","PartSop_IntervalsAugmentedDesc_Per","PartSop_IntervalsBeyondOctaveAsc_Per","PartSop_IntervalsBeyondOctaveDesc_Per","PartSop_IntervalsDiminishedAsc_Per","PartSop_IntervalsDiminishedDesc_Per","PartSop_IntervalsMajorAll_Per","PartSop_IntervalsMajorAsc_Per","PartSop_IntervalsMinorAll_Per","PartSop_IntervalsPerfectAll_Per","PartSop_IntervalsPerfectAsc_Per","PartSop_IntervalsPerfectDesc_Per","PartSop_IntervalsWithinOctaveDesc_Per","PartSop_LargestSemitonesAsc","PartSop_LargestSemitonesDesc","PartSop_LeapsAsc_Per","PartSop_LeapsDesc_Per","PartSop_RhythmInt","PartSop_StepwiseMotionAll_Per","PartSop_SyllabicRatio","PartSop_TrimmedAbsoluteIntervallicMean","PartSop_VoicePresence","y","PartSop_LargestIntervalAll_M9","PartSop_LargestIntervalAll_P8"
-0.760661779879283,-1.65934998682998,-0.809105965256484,-0.905763587114393,0.0996922522425609,-0.363719444471574,0.0901221433879424,0.266226088786045,-0.0827653070804871,0.068843291249096,-0.757042409373333,-0.509094836611988,-0.683948682679009,-0.343240568801422,-0.725095935054781,0.729133546529175,0.669810923833275,0.854026701693351,0.156994840130522,-0.710024947149026,-0.307518567116362,0.148060770867423,0.0813374886893578,-0.546366012495991,-0.104494535328506,-1.22950073128,-0.600816553962538,-0.0886391346610423,1.27036189417677,0.163546930973155,-0.550426698540553,-2.55334295435153,"Female",-0.420284490528342,1.20904066871265
1.15150808462773,-0.976308112259378,-0.624494716605336,0.657580998873891,0.275761633842505,0.0336045138913945,-0.201636925628446,-0.520051025780863,-0.917584113269994,-0.125502957627094,-0.392831374582636,-0.509094836611988,-0.683948682679009,-0.343240568801422,-0.725095935054781,1.22970479411174,-0.215306788199949,0.671328288983511,2.20653975242649,-1.29457896110924,-1.47898537563556,-1.19568332622579,-0.697585054100699,-1.2898972820403,-0.104494535328506,-1.07534191777876,-0.0742044316897285,-0.227354669346294,0.78424694172652,-0.103299075645187,-0.709334705787536,-1.91315204382129,"Female",-0.420284490528342,-0.826279049974474
-0.519791359256755,-0.634787174974075,1.72344363507237,-0.343248508832985,-0.342497263378673,-0.761043402834542,-0.178823792850185,-0.840386146530343,-0.133959107850608,-0.228028899922167,-0.244449101149388,-0.509094836611988,-0.683948682679009,-0.343240568801422,-0.0720599088481851,-0.237690825279222,0.723902860057972,0.379756709432695,-1.36877333769638,0.276367812278632,1.20416963336266,1.7289248759419,0.714438869296778,-0.546366012495991,1.04953851967313,-0.299242483042938,-0.676371475496823,0.985918953167087,0.930302905767723,-0.87368920728133,0.217072199785524,0.781619506234861,"Female",-0.420284490528342,1.20904066871265
-0.289953623881086,-0.976308112259378,-0.581474253598593,-0.758764195541277,0.28024177077889,0.430928472254363,-0.97269307279647,0.266226088786045,-0.046373963253595,0.068843291249096,1.4261719062171,-0.509094836611988,-0.683948682679009,-0.343240568801422,-0.725095935054781,2.18554536636108,-1.49861116716907,-0.407037689837343,2.33140337428621,-0.342495762778416,-1.48050451417908,-0.211532719904002,-0.469304445608293,-2.03342855158461,1.04953851967313,-0.99694631026473,0.185897166238523,-0.411133762915473,-0.0190237647807834,-0.750092355890998,-0.919295588023502,0.632362643305695,"Female",-0.420284490528342,-0.826279049974474
-1.02966469900331,-1.31782904954468,-0.878645078522815,0.313222748697053,-0.691947944416731,-0.761043402834542,-0.959688037654841,-0.889297184555376,-1.2673223833097,0.00446715322318643,-0.757042409373333,-0.509094836611988,-0.683948682679009,-0.343240568801422,-0.725095935054781,-0.68737657960871,1.26763319213228,1.75564639235224,-1.41647032092493,-0.105110050483447,0.205439917703713,1.12782819301259,-0.543383030143163,-1.2898972820403,-0.104494535328506,-0.266145701209411,0.127480412650124,-0.245340585767271,0.428624943599555,0.273109340095167,0.442159886816295,-1.96571573413852,"Female",-0.420284490528342,-0.826279049974474
-0.120412620343534,-0.634787174974075,-0.465771502515386,-0.710308233984415,-0.381880792726433,-0.363719444471574,0.139703094170451,-0.0310727207019402,0.435782198040386,-1.46589412170107,0.528266184382228,1.92960387191326,-0.683948682679009,-0.343240568801422,-0.725095935054781,-0.68737657960871,0.0901790971062829,-0.852818877984651,-0.109399423512903,-0.0314616784518423,0.0751000725227723,-0.823475064828449,0.579716542109735,-0.546366012495991,0.664860834672586,0.570792494283325,-1.59785154197042,0.453465209516695,0.457720554781445,-0.972412021741128,-0.772403235195088,-0.887403903230864,"Female",-0.420284490528342,1.20904066871265
-0.713906857313821,-0.293266237688772,1.91220608090637,-0.767268943867323,-0.691947944416731,-0.363719444471574,-0.911785385053486,-0.686837080385967,-0.657919529932791,-0.152584475491678,-0.138987320031544,-0.509094836611988,-0.683948682679009,-0.343240568801422,0.0622967855388156,-0.145171746637271,1.23209902245705,1.14844541915759,1.27034923591178,-2.0448087116464,-0.198842618127949,0.543150149128243,1.10313534438666,-0.546366012495991,1.04953851967313,-0.370899391079622,-1.05027279600826,-0.520767230138811,2.20845584295098,-0.126001790907772,-0.130562371529178,-0.856257391728613,"Female",-0.420284490528342,1.20904066871265
0.0755885600956661,0.0482546995965307,-0.548377448527477,-0.865890204416657,-0.361380485176662,0.0336045138913945,0.41843261722682,0.266226088786045,0.763728994979829,0.068843291249096,0.309527887004561,1.51457762381103,-0.683948682679009,-0.343240568801422,-0.725095935054781,-0.68737657960871,0.0206929488508842,-1.12251810912344,0.221188494005731,-0.149780185539157,-0.0260245952717606,-1.31429797997366,0.734681551281864,-0.546366012495991,0.664860834672586,0.596587199924343,-1.63729540546893,0.111900062258334,0.424789792624778,-0.835582170314946,-0.89630633768249,-0.436977429198234,"Female",-0.420284490528342,1.20904066871265
-0.615123094277474,0.389775636881834,1.03958568728475,-0.647238437103214,-0.0613383994249764,0.430928472254363,-0.281130574548551,-0.302888775090955,0.343651958394064,-0.696586064725242,-0.757042409373333,-0.509094836611988,0.685653017444562,-0.343240568801422,-0.725095935054781,0.237691257869093,0.225675577603612,0.0889600709571141,0.239027807284123,-0.276304939756913,-0.29938635324648,0.180919378132251,0.399231392671866,0.197165257048316,1.43421620467368,0.576294691768407,0.463780926431654,-1.03789272619734,-0.26550892160478,-0.4476606467998,0.318466549656144,-0.07556419273138,"Female",2.37697321133248,-0.826279049974474
0.599156219024443,0.0482546995965307,-0.633129759674188,-0.475445578274483,-0.408938539454125,0.828252430617331,0.755263421401096,0.266226088786045,0.665783629514789,0.068843291249096,-0.757042409373333,-0.509094836611988,0.572801941029886,-0.343240568801422,-0.108747326050805,-0.68737657960871,1.22697170735854,0.838637196402815,0.622948314216196,-1.48684702837346,-0.410496151738338,-0.957194479489941,0.830884259878329,0.197165257048316,-0.104494535328506,-1.48750848907019,-1.29245333969293,0.658939435191747,2.00986336350313,0.275195832269361,-0.704581173912609,-0.628172265470362,"Female",2.37697321133248,-0.826279049974474
