"PartSop_AbsoluteIntervallicTrimRatio","PartSop_Ambitus","PartSop_AscendingIntervallicMean","PartSop_AverageDuration","PartSop_DescendingIntervallicStd","PartSop_DottedRhythm","PartSop_HighestNoteIndex","PartSop_IntervallicKurtosis","PartSop_IntervallicMean","PartSop_IntervallicTrimDiff","PartSop_IntervallicTrimRatio","PartSop_IntervalsAugmentedAsc_Per","PartSop_IntervalsAugmentedDesc_Per","PartSop_IntervalsBeyondOctaveAsc_Per","PartSop_IntervalsBeyondOctaveDesc_Per","PartSop_IntervalsDiminishedAsc_Per","PartSop_IntervalsDiminishedDesc_Per","PartSop_IntervalsMajorAll_Per","PartSop_IntervalsMajorAsc_Per","PartSop_IntervalsMinorAll_Per","PartSop_IntervalsMinorDesc_Per","PartSop_IntervalsPerfectAll_Per","PartSop_IntervalsPerfectAsc_Per","PartSop_IntervalsPerfectDesc_Per","PartSop_LargestSemitonesAsc","PartSop_LargestSemitonesDesc","PartSop_LeapsAsc_Per","PartSop_LeapsDesc_Per","PartSop_RhythmInt","PartSop_StepwiseMotionAll_Per","PartSop_SyllabicRatio","PartSop_TrimmedAbsoluteIntervallicStd","PartSop_VoicePresence","y","PartSop_LargestIntervalAll_P8"
-0.159644511020953,-0.686587918864476,1.11408323372309,-1.00363187369477,0.076955680090684,-0.707542730153243,0.853428370398624,-0.863356266183898,1.30367791403599,-0.183587174983115,0.36518954973535,-0.107476645219488,-0.506306938056623,-0.689600446845188,-0.346013952046699,0.103529028980166,1.5436312563051,-0.810905686656106,-1.12799740227809,-1.30288682502107,-1.3247706674299,1.59318502833481,0.759649106708511,0.439384509556537,-0.57081922774789,-0.0529257401933332,1.13187862681446,0.170138108353138,-0.0634630629858374,-1.34056850702827,-0.751815029048275,1.03251594824255,0.426166382919956,"Female",1
-0.253454586272503,-0.017196543422394,-0.75371794319964,-1.197933026539,-0.365289161623781,2.14526830663316,1.25207424474927,-0.526497582438205,0.702071872810246,-0.291038445683182,0.725372179016598,0.343580229677085,-0.506306938056623,-0.689600446845188,-0.346013952046699,-0.729446418337974,-0.688540159201901,0.378074436983093,0.485113379566326,-0.443633256172941,-0.441886520761072,0.0358753564362325,0.211796209493281,-0.688630453644348,-0.57081922774789,1.07460708973626,-0.719849780683337,-0.295419446608581,3.7766750290862,0.313557146570668,-0.175549079829567,-0.273200987071759,1.81284804944728,"Female",1
1.32430015008503,1.65628189518281,-0.140670880052935,-0.184724252867084,-0.692952348729583,-0.093895489086194,1.25207424474927,1.23252835665061,0.632332707669057,1.28398698585584,1.8062485990143,1.09914864517364,-0.506306938056623,-0.123478175154687,-0.346013952046699,0.45233132186665,-0.292680578397284,-0.669861918396274,-1.27504918573632,1.70112831568825,1.6760269884062,-0.568464757961244,-0.735461329672099,-0.434207776050865,0.148954027636672,-0.0529257401933332,-0.490507526806119,-0.937502089470037,-0.272623485835067,0.692259632959099,0.100159801011072,-0.966559195387285,-0.77421391116017,"Female",0
-1.18755347997976,-0.017196543422394,-0.392248156983923,-1.1464161948022,-0.193960252498964,1.43313215176238,0.0561366216973292,-0.627597030728142,0.263339662257819,-0.0382199854348127,0.0625339097588681,-0.764148769042205,-0.506306938056623,-0.689600446845188,-0.346013952046699,-0.729446418337974,-0.688540159201901,0.315996163549968,0.822654596805723,0.377884310906671,-0.0546079667501945,-0.373771396683281,-0.37595348342613,0.833998094923563,-1.29059248313245,-0.0529257401933332,0.0998433283906829,1.17710410358375,0.37633626953205,-0.265200564462514,-0.481177801513906,-0.185425534928715,-1.03815799675383,"Female",0
0.793081590564969,0.317499144298647,1.34676597168601,0.472638441364155,0.81983704765484,-0.0565142824875003,0.0561366216973292,-0.579102786178021,0.263339662257819,0.31035687770097,0.0625339097588681,-0.764148769042205,-0.506306938056623,-0.689600446845188,-0.346013952046699,0.947723000841337,-0.688540159201901,-0.603053151666494,-0.774430733957484,-0.682348958381078,-0.151453216655392,1.17842518578101,0.455500877027513,0.27355204229252,-0.57081922774789,-0.0529257401933332,0.194691007241629,0.343687171925081,-0.228037285057996,-0.873325339047872,-0.964715079115836,1.54287763242268,2.22084833059171,"Female",1
-1.06408208180131,-0.686587918864476,-0.216181067169275,0.102717445719324,0.016995024930712,-0.707542730153243,0.0561366216973292,-0.755724551800804,0.263339662257819,-0.792345905353162,0.0625339097588681,-0.764148769042205,-0.506306938056623,-0.689600446845188,-0.346013952046699,-0.729446418337974,0.628734682712425,0.0775329506640529,0.351261744964539,0.597858896463322,0.059280772858714,-0.417174303325761,-0.0159528906803692,0.294343443733327,-0.57081922774789,-0.0529257401933332,1.41772686610907,0.706186021891508,-0.83386489258343,-0.586848815092628,0.320237260475135,-0.0735928748901443,1.23554152918849,"Male",1
-0.557151424732664,-1.6906749820276,-0.63093763563803,-0.826967837973554,0.436620064728837,1.84319372810703,-0.741155127003966,-1.18832448364864,-0.8300211014739,-1.06835315132238,-0.044280367431428,0.61613218015283,3.42953134803237,-0.689600446845188,-0.346013952046699,-0.729446418337974,-0.688540159201901,0.659856678268426,0.930950683963332,0.967150227559117,0.773384879429609,-1.42716955952664,-0.0751175142549608,-1.14753602515801,-1.29059248313245,1.07460708973626,-0.151415262193004,-0.239245996419194,0.598493332574438,0.932840544154021,0.213911186053797,0.37946440158076,-1.7448741665203,"Male",0
-1.21422132675166,-0.017196543422394,2.01926489366532,0.576649851792173,0.638020877110323,-0.707542730153243,0.0561366216973292,-1.38375177999705,0.263339662257819,0.0909033422021892,0.0625339097588681,1.2292011296684,-0.506306938056623,-0.08396456482096,-0.346013952046699,-0.729446418337974,-0.26505078532082,-1.30425921889708,-0.548548244915453,-0.914361129170491,-1.07089931545394,1.95000636095873,0.557058595547392,2.88592448798497,0.868727283021233,-0.0529257401933332,2.81999489206857,3.15641365123625,-1.04802437353698,-3.40533363737036,-1.07707896423186,2.03762914391559,1.97869905919196,"Male",0
1.15605287553574,-0.686587918864476,0.34966784269262,-1.10123441907918,-0.13615625250136,0.175519832884746,-0.342509252653318,-0.363081756861069,-0.621793655210357,0.74275387875028,-0.527489743069907,-0.764148769042205,-0.506306938056623,-0.689600446845188,-0.346013952046699,0.282991218849541,0.668003038433458,-0.148585725566741,-0.978832589669616,0.371734831801641,0.747613203958406,-0.103955587989688,-0.0879229904183685,-1.905960384606,-0.57081922774789,0.69876281309306,-0.266704848000814,-0.811020545726841,0.345848745266587,0.189885461115339,-0.651392040212194,-0.131067035909663,0.143099960083387,"Male",1
0.263504818231275,0.652194832019688,1.17657142766621,-1.53021595008839,0.125324296327015,2.14857816608867,-0.741155127003966,-0.365180243370493,0.263339662257819,0.930258758663233,0.0625339097588681,-0.363035459495739,-0.506306938056623,-0.445861389115312,0.577632785774127,-0.729446418337974,-0.688540159201901,1.97602741501385,0.161028968758803,-0.759081753101447,-0.322836664521329,-1.30733559805483,0.529813702910759,0.518441079022691,0.148954027636672,-1.55630284676612,1.26650739134871,-0.498108285953694,2.21762781246095,0.916101607789105,4.64056473196763,0.189392124312792,-0.236216754248666,"Male",0
