"PartSop_AbsoluteIntervallicTrimRatio","PartSop_Ambitus","PartSop_AverageDuration","PartSop_DescendingIntervallicStd","PartSop_DottedRhythm","PartSop_HighestNoteIndex","PartSop_IntervallicKurtosis","PartSop_IntervallicMean","PartSop_IntervallicTrimDiff","PartSop_IntervallicTrimRatio","PartSop_IntervalsAugmentedAsc_Per","PartSop_IntervalsAugmentedDesc_Per","PartSop_IntervalsBeyondOctaveAsc_Per","PartSop_IntervalsBeyondOctaveDesc_Per","PartSop_IntervalsDiminishedAsc_Per","PartSop_IntervalsDiminishedDesc_Per","PartSop_IntervalsMajorAll_Per","PartSop_IntervalsMajorAsc_Per","PartSop_IntervalsMinorAll_Per","PartSop_IntervalsPerfectAll_Per","PartSop_IntervalsPerfectAsc_Per","PartSop_IntervalsPerfectDesc_Per","PartSop_IntervalsWithinOctaveDesc_Per","PartSop_LargestSemitonesAsc","PartSop_LargestSemitonesDesc","PartSop_LeapsAsc_Per","PartSop_LeapsDesc_Per","PartSop_RhythmInt","PartSop_StepwiseMotionAll_Per","PartSop_SyllabicRatio","PartSop_TrimmedAbsoluteIntervallicStd","PartSop_VoicePresence","y","PartSop_LargestIntervalAll_P8"
0.402829795877286,0.0339761375648314,0.200140314491823,0.947467538867394,1.95134892298829,-0.727186203969754,-0.311650448889202,0.0070931217174038,-0.694203029419064,-0.66013486017122,0.419556905552058,-0.479306595156048,0.0135722993885926,-0.347003611833453,-0.714911633207752,-0.685532410236302,-0.522485448102377,0.0127497551056177,1.99454210461208,-0.7323003158969,1.0316778115126,0.883437773593031,0.442443468432761,0.167858109624101,-0.0678350273242204,-0.360140079387281,0.176657186884918,-0.62499292217713,1.04054511309802,0.097132099541557,0.5333367220174,-0.0271631212662883,"Female",0
0.627750366791526,0.37373751321314,-1.27454642923747,-0.232270704395849,-0.00178702538448532,-0.727186203969754,1.2237639265995,0.273318375122022,0.459607258706449,0.096782640980204,0.116402391967276,-0.479306595156048,1.05991088638707,-0.347003611833453,-0.714911633207752,-0.685532410236302,1.03984915409084,0.51379341371143,0.681774670850585,-1.35049580043582,-0.610920396305789,-0.798336715295094,0.816510925581283,1.26689331753861,0.684517093908044,-0.614893789699275,-0.742324052287296,1.74622728179779,1.23107247280566,-0.26403751538258,-0.978794395219009,-0.125593019072116,"Female",0
-0.345964338051728,0.71349888886145,-1.34702951844196,-1.15438969880692,-0.692754931648438,0.857040883250062,-0.105892222049405,0.273318375122022,1.08062549830966,0.096782640980204,1.68069367191247,-0.479306595156048,-0.695948819869541,-0.347003611833453,-0.714911633207752,-0.685532410236302,1.01326489122936,-0.17601198071745,-0.95808829114168,-0.347291511486099,0.087815865177827,-0.906872817165806,0.676402237414925,-0.56483202898557,-0.0678350273242204,-0.469368743152908,-1.03813773986087,0.685935325691659,0.686168267799855,-0.0228640431481541,-0.823804737314778,-0.0525367290957741,"Female",1
-0.271826124165265,0.0339761375648314,-1.18107290816289,-0.363638231977783,1.93059922906177,1.25309765505502,-0.525757146805211,0.702007370378633,-0.29995403600804,0.770908707600043,0.379718164923225,-0.479306595156048,-0.695948819869541,-0.347003611833453,-0.714911633207752,-0.685532410236302,0.389130565341232,0.489312208868323,-0.435106755083349,0.014498458038874,0.212024298941833,-0.676807342583229,-0.505696600027939,-0.56483202898557,1.06069315452418,-0.712953382048687,-0.277070656296406,3.78979745080883,0.305165005107327,-0.149432005042596,-0.267143125178669,1.84000568808083,"Female",1
-0.0378985877917351,-0.305785238083478,0.0696211901445336,-0.591096597964276,0.353869510811933,0.0649273396401542,-0.360356085251345,0.400357245607677,0.0138135132900109,2.91963738812355,0.0850557973672495,-0.479306595156048,-0.695948819869541,-0.347003611833453,0.336741601899213,1.46296917734703,0.550870704129377,0.510583973665799,-0.156836734828499,-0.576642085786464,-1.10338001818567,-0.5461420077382,-0.297339304194592,-1.29752216759524,-0.0678350273242204,-0.924210012571206,-1.26000702342201,1.88384503943649,1.02721093579147,0.661906513482839,-0.986670753764935,0.586780208599962,"Female",0
-0.0184056053803564,-0.645546613731787,-0.791876389267434,-0.425222717795619,-0.481146010355103,-0.727186203969754,0.0480274251441187,0.0879888033921851,0.443120992312525,-2.35221279528759,-0.757345890524632,-0.479306595156048,0.0449383244777493,-0.347003611833453,-0.331362797080712,-0.163145210206524,-0.654693217426817,-0.777585227338127,0.926666367058714,0.135123465215788,-0.0329589420524592,0.29049970659224,0.309597845780514,0.167858109624101,-0.0678350273242204,0.321142084972191,0.0991264469737009,1.04396779510349,-0.189299068824042,0.121394487406942,-0.115870102580107,0.226994095747734,"Male",0
2.21091310969041,-1.32506936502841,-0.25731444243519,0.985156101208134,-0.692754931648438,-1.51929974757966,0.180953961941269,1.11293300947821,-0.351292002095644,0.427409381245559,-0.200592841275644,3.5020144113887,-0.695948819869541,-0.347003611833453,0.675188015959888,1.68108363409754,-1.35495251944925,-0.274290094571871,0.705535000310258,0.506250013109056,-1.25379062471501,0.304960112832552,-0.879298298437159,-0.56483202898557,-0.0678350273242204,-1.15833407169302,-0.769611784459789,-0.189693397957701,0.246614552908948,-0.351800192660615,0.48227051237199,-2.12746037570247,"Male",1
-0.198782449062437,0.37373751321314,-0.434071090536396,0.319547136225006,1.16638059114301,0.460984111445108,-0.807919575750269,0.273318375122022,-0.368376063100493,0.096782640980204,-0.250952413569529,-0.479306595156048,-0.695948819869541,-0.347003611833453,-0.714911633207752,0.175487698355514,-0.463490813922463,-0.3099697408781,0.420349421689411,0.24105045779413,0.634759496581037,-0.151501646264757,-0.25685807015708,-0.56483202898557,-0.0678350273242204,0.280242779662031,0.479456959420113,2.02464601281336,-0.378402371940312,-0.544842871130374,0.641442560494748,1.51127958758267,"Male",1
-1.66122357853511,-2.00459211632502,-0.382983069273905,-0.705393157952269,-0.362241949818847,-1.51929974757966,-1.5609030845116,-3.15826788852086,-0.0312826322265048,-0.00480475105612705,-0.757345890524632,-0.479306595156048,-0.695948819869541,-0.347003611833453,1.31418543533533,-0.685532410236302,0.413385220572312,-0.624457491834682,0.348375958468737,-0.575010423185839,0.379096282615575,-0.172586675459481,1.39054374850203,-2.03021230620491,1.06069315452418,1.41293653180195,0.156269770647162,-0.563180192700176,-0.146428245638852,-0.341691903361736,-0.110099038966371,1.2398442850764,"Male",0
0.431424589594788,1.05326026450976,0.441948637720355,1.86894179829404,-0.574714580995012,1.25309765505502,-0.0336436986518702,0.273318375122022,-2.09104937562779,0.096782640980204,-0.156616818011562,1.66858938751043,-0.695948819869541,1.05219040898785,-0.714911633207752,-0.685532410236302,0.763240527751334,2.14686002346505,-0.841770642821232,-0.130529481635229,0.472282864249904,0.242628140885417,-1.57119962017586,-0.56483202898557,-0.820187148556485,-0.747787220856738,0.340298624725208,-0.475940096405969,0.408222486860555,0.509844298030138,-0.00412568539338259,0.344315490017432,"Male",1
