"PartSop_AbsoluteIntervallicTrimRatio","PartSop_Ambitus","PartSop_AscendingIntervallicMean","PartSop_AverageDuration","PartSop_DescendingIntervallicStd","PartSop_DottedRhythm","PartSop_HighestNoteIndex","PartSop_IntervallicKurtosis","PartSop_IntervallicMean","PartSop_IntervallicTrimDiff","PartSop_IntervallicTrimRatio","PartSop_IntervalsAugmentedAsc_Per","PartSop_IntervalsAugmentedDesc_Per","PartSop_IntervalsBeyondOctaveAsc_Per","PartSop_IntervalsBeyondOctaveDesc_Per","PartSop_IntervalsDiminishedAsc_Per","PartSop_IntervalsDiminishedDesc_Per","PartSop_IntervalsMajorAll_Per","PartSop_IntervalsMajorAsc_Per","PartSop_IntervalsMinorAll_Per","PartSop_IntervalsPerfectAll_Per","PartSop_IntervalsPerfectAsc_Per","PartSop_IntervalsPerfectDesc_Per","PartSop_IntervalsWithinOctaveDesc_Per","PartSop_LargestSemitonesAsc","PartSop_LargestSemitonesDesc","PartSop_LeapsAsc_Per","PartSop_LeapsDesc_Per","PartSop_RhythmInt","PartSop_StepwiseMotionAll_Per","PartSop_SyllabicRatio","PartSop_TrimmedAbsoluteIntervallicStd","PartSop_VoicePresence","y","PartSop_LargestIntervalAll_M9","PartSop_LargestIntervalAll_P8"
0.552291033131201,-0.678702553289553,-1.93671067637513,0.131402338555153,0.833840908519656,0.256971647750502,0.0515614559307501,0.251193459138728,-0.605026232712643,-2.49325854935124,0.305760681619069,-0.761889360235484,-0.495576129850747,-0.695663449777147,-0.348855576764399,-0.729241391317236,-0.686018256098117,0.642776065633692,2.59874905960985,-0.591855385696933,-0.0423333637030987,-1.48439460104067,-0.0827445658996402,-2.3597326283347,-1.29771082533988,-0.0563501715402816,-2.2047686497092,-0.434103688860328,-0.470178051611676,0.786685714111969,0.516203609041143,-0.945140152602098,-1.66186251285651,"Feminine",-0.405389858147055,-0.815343852080624
-0.569958585106854,-0.00971889097789317,-1.07528542495822,-1.20800391364654,0.287902476226101,-0.682687600631176,0.8402607633159,-0.79825877037203,0.997418306445777,-0.667701842425902,0.357202171919445,-0.292535606024193,-0.495576129850747,-0.695663449777147,-0.348855576764399,-0.729241391317236,0.121694962938423,1.45762428404128,2.99177249584185,-0.486578478701983,-1.05058398639909,0.24778163666739,1.70452206849002,-0.609440826369553,-0.577986692575284,-0.0563501715402816,-1.25173580651424,1.52885447129481,0.336249195238154,0.919952385851913,-0.382828134272509,0.019352219316851,-2.38337329357679,"Feminine",-0.405389858147055,1.22548651706663
-0.113648786892269,-0.00971889097789317,-0.341586971294361,-1.09515700681689,0.695609106808021,-0.682687600631176,0.0515614559307501,-0.768307802787007,-0.766580026957365,-0.711119772128287,-0.105345237097324,-0.761889360235484,-0.495576129850747,-0.695663449777147,-0.348855576764399,-0.105157532391647,-0.686018256098117,1.43130614819788,1.74095967675625,-0.596977960984779,-0.871962521278053,0.391118912996311,1.05299512037592,0.318003350543888,-0.577986692575284,-0.0563501715402816,-0.311589516386022,0.341114960176207,-0.065498775898602,0.913091701553799,0.355959719931101,0.233206421143151,-0.197753929655653,"Feminine",-0.405389858147055,1.22548651706663
-0.7629780262639,-1.68217804675704,-1.1883566661876,-0.823775954305693,-0.908273218353084,0.126300283522425,-0.342788197761825,0.0446501914168949,0.280200037121467,-0.0901805518228037,0.0772867205327357,-0.761889360235484,-0.495576129850747,-0.695663449777147,-0.348855576764399,-0.729241391317236,0.717383461977872,0.673726823705354,0.838381201201658,0.160202698750874,-0.721155110913569,-0.295911480442319,0.114294645773228,0.0838966787685223,-0.577986692575284,-0.0563501715402816,-1.21574312105269,-0.611543966802949,-0.092576669467676,1.28394980277973,0.11889261255707,-1.02100816375922,-2.60660100351177,"Feminine",-0.405389858147055,1.22548651706663
1.11467681654517,-1.01319438444538,-1.24065219168185,-0.639946351275879,0.633640128593068,0.306227979318896,0.0515614559307501,-0.230116365061304,-0.506852642637053,-0.908822462170195,-0.110160019656729,-0.393993654396934,-0.495576129850747,-0.695663449777147,-0.348855576764399,-0.729241391317236,1.21332241498217,-0.221482233787846,0.655760989243098,2.24501140247416,-1.31696292493045,-1.48400915330611,-1.1914165407042,-0.685702112740308,-1.29771082533988,-0.0563501715402816,-1.06210498973338,-0.0951025484931947,-0.230905805652099,0.793805832455255,-0.140442035382944,-0.768972610253405,-1.96445409186139,"Feminine",-0.405389858147055,-0.815343852080624
-0.526455361532988,-0.678702553289553,-0.162449752977668,1.69805080914096,-0.353469424720947,-0.325579196760317,-0.7371378514544,-0.208631905445036,-0.827503734390523,-0.140382332795718,-0.209046176601841,-0.244110218684931,-0.495576129850747,-0.695663449777147,-0.348855576764399,-0.068835191395977,-0.240493901153358,0.728435469332226,0.364314211633548,-1.39181734136337,0.284227624849617,1.23723757681102,1.65041447004748,0.709419796475191,-0.577986692575284,1.05186986875192,-0.288626885156386,-0.685639661123549,0.978988187392258,0.941072337515188,-0.889146713770991,-0.167777512630102,0.738550902443534,"Feminine",-0.405389858147055,1.22548651706663
-0.300766240028264,-1.01319438444538,-1.02862296340358,-0.597108037281087,-0.763288980142885,0.310806292189034,0.445911109623325,-0.956264975018673,0.280200037121467,-0.0544943897362816,0.0772867205327357,1.44341222293193,-0.495576129850747,-0.695663449777147,-0.348855576764399,-0.729241391317236,2.16031762281656,-1.51941773768241,-0.422143414523838,2.37202338648574,-0.346550275949311,-1.48554985847607,-0.235121023847495,-0.460154037329158,-2.01743495810448,1.05186986875192,-0.983974168870519,0.159975586736499,-0.41417297410489,-0.0161225421983321,-0.769028948667429,-0.205898467168053,0.588838008998664,"Feminine",-0.405389858147055,-0.815343852080624
-1.02712539266601,-1.34768621560121,-0.830327203695221,-0.893020638365824,0.294002542076574,-0.682687600631176,-0.7371378514544,-0.94401737382228,-0.876463017109284,-1.25178359742989,0.0151960072376658,-0.761889360235484,-0.495576129850747,-0.695663449777147,-0.348855576764399,-0.729241391317236,-0.686018256098117,1.27836494367138,1.73961496985864,-1.44033498309918,-0.104594427655483,0.2243292789701,1.06633103872071,-0.533345896599929,-1.29771082533988,-0.0563501715402816,-0.255641890019895,0.102687062981979,-0.248841621475787,0.435236368138041,0.225370986197321,-0.215878616006005,-2.01717838214255,"Feminine",-0.405389858147055,-0.815343852080624
0.80777239699949,1.66274026480126,2.0046936823023,-0.30736192841539,1.61973206925375,-0.682687600631176,0.8402607633159,-0.68182378952661,-0.830441940681005,0.140831929913186,-0.264185297153411,-0.242736799211324,-0.495576129850747,-0.0560096370036936,-0.348855576764399,-0.729241391317236,-0.686018256098117,1.00855201085113,-0.142261314410754,-2.27442434562991,0.689096004093526,1.2488081278352,1.51754336585948,1.12471576032803,-0.218124626192984,-0.0563501715402816,0.029926327923071,-0.861964390313915,-0.609870207511406,0.59260714034419,-0.396382075637913,1.94651122735244,-0.975334073019641,"Masculine",-0.405389858147055,-0.815343852080624
0.143441489169865,0.993756602489597,0.687672137422734,-0.592988948265183,0.247182890130749,-0.682687600631176,0.445911109623325,-0.411187184989706,0.800339199396662,0.404744075262466,0.918435943710594,-0.0811223497794538,-0.495576129850747,-0.695663449777147,-0.348855576764399,-0.729241391317236,-0.686018256098117,0.925659783554224,-0.576554962967724,-0.618047335864373,-0.365893385311885,1.85127813792599,-0.497901315924182,1.53490566373371,-0.577986692575284,-0.0563501715402816,0.480920773617452,-1.05308066948111,-0.289505902642846,0.959579842983591,-0.357250143685525,-0.225774994063671,0.532368820278285,"Masculine",-0.405389858147055,1.22548651706663
