"Model","Accuracy","AUC","Macro_F1","ci_diff_lo_RF","ci_diff_up_RF","pval_better_RF","ci_diff_lo_MC","ci_diff_up_MC","pval_better_MC"
"Ridge Logistic (RL)",0.608695652173913,0.651264713248184,0.608395872420263,-0.00592885375494068,0.0691699604743082,0.0505894941050589,0.025691699604743,0.148221343873518,0.002709972900271
"Lasso Logistic (LL)",0.602766798418972,0.669155396944653,0.602317915752677,-0.00395256916996045,0.0790513833992095,0.040439595604044,0.0197628458498024,0.140316205533597,0.004959950400496
"Random Forest (RF)",0.640316205533597,0.669421487603306,0.639634986225895,NA,NA,NA,0.0592885375494071,0.177865612648221,6.99993000069999e-05
"Majority Class (MC)",0.521739130434783,0.5,0.342857142857143,NA,NA,NA,NA,NA,NA
