"Model","Accuracy","AUC","Macro_F1","ci_diff_lo_RF","ci_diff_up_RF","pval_better_RF","ci_diff_lo_MC","ci_diff_up_MC","pval_better_MC"
"Ridge Logistic (RL)",0.597222222222222,0.658333333333334,0.554343443925345,-0.0462962962962964,0.0740740740740741,0.354264573542646,-0.0231481481481481,0.106481481481482,0.120887911208879
"Lasso Logistic (LL)",0.583333333333333,0.6359375,0.553308823529412,-0.0416666666666666,0.0972222222222222,0.236376362363764,-0.0416666666666667,0.101851851851852,0.246075392460754
"Random Forest (RF)",0.611111111111111,0.659244791666667,0.590909090909091,NA,NA,NA,-0.0185185185185186,0.134259259259259,0.0842915708429157
"Majority Class (MC)",0.555555555555556,0.5,0.357142857142857,NA,NA,NA,NA,NA,NA
