"Model","Accuracy","AUC","Macro_F1","ci_diff_lo_RF","ci_diff_up_RF","pval_better_RF","ci_diff_lo_MC","ci_diff_up_MC","pval_better_MC"
"Ridge Logistic (RL)",0.584686774941995,0.601972395175686,0.476405714479623,-0.048723897911833,0.0440835266821346,0.557114428855711,0.00232018561484926,0.0626450116009281,0.017249827501725
"Lasso Logistic (LL)",0.57308584686775,0.609809726999608,0.488809818481848,-0.0324825986078887,0.0533642691415313,0.354556454435456,-0.0162412993039442,0.0580046403712297,0.1409985900141
"Random Forest (RF)",0.582366589327146,0.608764749423085,0.556015932606904,NA,NA,NA,-0.0208816705336428,0.0835266821345707,0.137468625313747
"Majority Class (MC)",0.552204176334107,0.5,0.35575485799701,NA,NA,NA,NA,NA,NA
