"Model","Accuracy","AUC","Macro_F1","ci_diff_lo_RF","ci_diff_up_RF","pval_better_RF","ci_diff_lo_MC","ci_diff_up_MC","pval_better_MC"
"Ridge Logistic (RL)",0.645161290322581,0.688842203548086,0.632894736842105,-0.0483870967741936,0.0698924731182796,0.3999600039996,0.010752688172043,0.182795698924731,0.0151984801519848
"Lasso Logistic (LL)",0.67741935483871,0.711134453781513,0.670990566037736,-0.0860215053763441,0.043010752688172,0.771122887711229,0.0376344086021505,0.220430107526882,0.0022997700229977
"Random Forest (RF)",0.655913978494624,0.693627450980393,0.649056603773585,NA,NA,NA,0.0161290322580645,0.198924731182796,0.010998900109989
"Majority Class (MC)",0.548387096774194,0.5,0.354166666666667,NA,NA,NA,NA,NA,NA
