"Model","Accuracy","AUC","Macro_F1","ci_diff_lo_RF","ci_diff_up_RF","pval_better_RF","ci_diff_lo_MC","ci_diff_up_MC","pval_better_MC"
"Ridge Logistic (RL)",0.608695652173913,0.6945,0.603115245052211,-0.0355731225296443,0.075098814229249,0.261273872612739,0.0276679841897233,0.177865612648221,0.0036996300369963
"Lasso Logistic (LL)",0.58102766798419,0.662062500000001,0.570829599283062,-0.0118577075098814,0.106719367588933,0.0643935606439356,0.00395256916996045,0.146245059288538,0.022997700229977
"Random Forest (RF)",0.628458498023715,0.69734375,0.628313328332083,NA,NA,NA,0.0395256916996047,0.205533596837945,0.0016998300169983
"Majority Class (MC)",0.505928853754941,0.5,0.335958005249344,NA,NA,NA,NA,NA,NA
