"Model","Accuracy","AUC","Macro_F1","ci_diff_lo_RF","ci_diff_up_RF","pval_better_RF","ci_diff_lo_MC","ci_diff_up_MC","pval_better_MC"
"Ridge Logistic (RL)",0.597855227882037,0.651265126512651,0.590793400035106,-0.0214477211796247,0.0697050938337801,0.159888401115989,-0.00804289544235925,0.120643431635389,0.048529514704853
"Lasso Logistic (LL)",0.589812332439678,0.645040819871461,0.585040246057195,-0.0160857908847185,0.0804289544235924,0.10139898601014,-0.0187667560321716,0.115281501340483,0.0834391656083439
"Random Forest (RF)",0.621983914209115,0.665002026518442,0.618816725011415,NA,NA,NA,0.0134048257372654,0.14745308310992,0.010969890301097
"Majority Class (MC)",0.541554959785523,0.5,0.351304347826087,NA,NA,NA,NA,NA,NA
